"","Subject","TrialId","CRESP","RESP","ACC","RT","Block","Stimulus","Condition","CategoryName","NBlocks","LogNBlocks","LogRT"
"1",12,1,"f","f",1,2715,1,"A2","Label","A_Saldie",1,0,7.90654723236804
"2",12,2,"f","f",1,1179,1,"A6","Label","A_Saldie",1,0,7.07242190053737
"3",12,3,"h","h",1,1202,1,"B1","Label","A_Saldie",1,0,7.09174211509515
"4",12,4,"h","h",1,1017,1,"B2","Label","A_Saldie",1,0,6.92461239604856
"5",12,5,"f","f",1,896,1,"A3","Label","A_Saldie",1,0,6.79794041297493
"6",12,6,"f","f",1,668,1,"A4","Label","A_Saldie",1,0,6.50428817353665
"7",12,7,"h","h",1,700,1,"B5","Label","A_Saldie",1,0,6.5510803350434
"8",12,8,"h","h",1,798,1,"B3","Label","A_Saldie",1,0,6.68210859744981
"9",12,9,"h","h",1,708,1,"B4","Label","A_Saldie",1,0,6.56244409369372
"10",12,10,"h","h",1,521,1,"B6","Label","A_Saldie",1,0,6.25575004175337
"11",12,11,"f","f",1,989,1,"A5","Label","A_Saldie",1,0,6.89669433162271
"12",12,12,"f","f",1,669,1,"A1","Label","A_Saldie",1,0,6.50578406012823
"13",12,253,"h","h",1,748,0,"B6","Label","A_Saldie",1,0,6.61740297797448
"14",12,254,"f","f",1,693,0,"A4","Label","A_Saldie",1,0,6.5410299991899
"15",12,255,"f","f",1,535,0,"A3","Label","A_Saldie",1,0,6.28226674689601
"16",12,256,"h","h",1,408,0,"B4","Label","A_Saldie",1,0,6.01126717440416
"17",12,257,"f","f",1,479,0,"TestA2","Label","A_Saldie",1,0,6.17170059741091
"18",12,258,"h","h",1,610,0,"TestB2","Label","A_Saldie",1,0,6.41345895716736
"19",12,259,"f","f",1,553,0,"A5","Label","A_Saldie",1,0,6.31535800152233
"20",12,260,"h","h",1,524,0,"TestB1","Label","A_Saldie",1,0,6.26149168432104
"21",12,261,"h","h",1,528,0,"B3","Label","A_Saldie",1,0,6.26909628370626
"22",12,262,"h","f",0,493,0,"B5","Label","A_Saldie",1,0,6.20050917404269
"23",12,263,"f","f",1,531,0,"TestA1","Label","A_Saldie",1,0,6.27476202124194
"24",12,264,"f","f",1,841,0,"A6","Label","A_Saldie",1,0,6.73459165997295
"25",11,1,"h","f",0,4346,1,"B2","NoLabel","NoName",2,0.693147180559945,8.37701116081637
"26",11,2,"h","h",1,1366,1,"B5","NoLabel","NoName",2,0.693147180559945,7.21964204013074
"27",11,3,"f","h",0,1014,1,"A3","NoLabel","NoName",2,0.693147180559945,6.92165818415113
"28",11,4,"h","h",1,1464,1,"B1","NoLabel","NoName",2,0.693147180559945,7.28892769452126
"29",11,5,"h","h",1,957,1,"B3","NoLabel","NoName",2,0.693147180559945,6.86380339145295
"30",11,6,"h","h",1,704,1,"B4","NoLabel","NoName",2,0.693147180559945,6.55677835615804
"31",11,7,"f","f",1,560,1,"A1","NoLabel","NoName",2,0.693147180559945,6.32793678372919
"32",11,8,"f","f",1,943,1,"A6","NoLabel","NoName",2,0.693147180559945,6.84906628263346
"33",11,9,"h","h",1,784,1,"B6","NoLabel","NoName",2,0.693147180559945,6.66440902035041
"34",11,10,"f","f",1,1654,1,"A2","NoLabel","NoName",2,0.693147180559945,7.41095187558364
"35",11,11,"f","f",1,2006,1,"A5","NoLabel","NoName",2,0.693147180559945,7.60389796852188
"36",11,12,"f","f",1,790,1,"A4","NoLabel","NoName",2,0.693147180559945,6.67203294546107
"37",11,13,"f","f",1,844,2,"A5","NoLabel","NoName",2,0.693147180559945,6.73815249459596
"38",11,14,"f","f",1,631,2,"A4","NoLabel","NoName",2,0.693147180559945,6.44730586254121
"39",11,15,"f","f",1,520,2,"A6","NoLabel","NoName",2,0.693147180559945,6.25382881157547
"40",11,16,"f","f",1,938,2,"A2","NoLabel","NoName",2,0.693147180559945,6.84374994900622
"41",11,17,"h","h",1,2249,2,"B2","NoLabel","NoName",2,0.693147180559945,7.71824095195932
"42",11,18,"h","h",1,848,2,"B5","NoLabel","NoName",2,0.693147180559945,6.7428806357919
"43",11,19,"h","h",1,1058,2,"B4","NoLabel","NoName",2,0.693147180559945,6.96413561241824
"44",11,20,"h","h",1,573,2,"B1","NoLabel","NoName",2,0.693147180559945,6.35088571671474
"45",11,21,"h","h",1,655,2,"B3","NoLabel","NoName",2,0.693147180559945,6.48463523563525
"46",11,22,"h","h",1,714,2,"B6","NoLabel","NoName",2,0.693147180559945,6.57088296233958
"47",11,23,"f","f",1,707,2,"A3","NoLabel","NoName",2,0.693147180559945,6.56103066589657
"48",11,24,"f","f",1,979,2,"A1","NoLabel","NoName",2,0.693147180559945,6.88653164253051
"49",11,253,"h","h",1,996,0,"B6","NoLabel","NoName",2,0.693147180559945,6.9037472575846
"50",11,254,"h","h",1,671,0,"B5","NoLabel","NoName",2,0.693147180559945,6.50876913697168
"51",11,255,"h","h",1,586,0,"B3","NoLabel","NoName",2,0.693147180559945,6.37331978957701
"52",11,256,"h","h",1,667,0,"B4","NoLabel","NoName",2,0.693147180559945,6.50279004591562
"53",11,257,"f","f",1,726,0,"A3","NoLabel","NoName",2,0.693147180559945,6.5875500148248
"54",11,258,"h","h",1,678,0,"TestB1","NoLabel","NoName",2,0.693147180559945,6.5191472879404
