Participant,Age,Gender,Race,Confidence
1,22,M,E,8
2,20,F,E,7
3,19,M,W,8
4,21,F,E,6
5,20,F,E,8
6,20,F,E,9
7,20,M,W,8
8,21,M,E,6
9,20,M,W,2
10,22,M,W,8
11,21,M,E,7
12,22,F,W,6
13,21,F,E,5
14,20,M,E,9
15,21,F,W,8
16,22,F,E,6
17,20,F,E,5
18,19,M,E,8
19,19,F,E,2
20,20,M,W,7
21,21,M,E,9
22,20,M,W,8
23,21,M,E,7
24,21,M,E,7
25,22,F,W,9
26,20,F,W,7
27,20,F,W,9
28,22,F,E,3
29,21,F,E,8
30,22,F,W,9
31,20,F,E,8
32,21,M,E,6
33,20,M,E,5
34,20,F,E,7
35,23,F,E,8
36,20,M,E,6
37,20,M,E,7
38,19,M,E,7
39,20,M,E,9
40,21,M,E,7
