ParticipantName	PresentationSequence	MediaName	RecordingTimestamp	StudioEventIndex	GazePointX (ADCSpx)	GazePointY (ADCSpx)	ValidityLeft	ValidityRight	
P72	7		16				4	4	
P72	7		33				4	4	
P72	7		50		779	843	0	0	
P72	7		66		748	846	0	0	
P72	7		83		805	845	0	0	
P72	7		100				4	4	
P72	7		116				4	4	
P72	7		133				4	4	
P72	7		150		746	846	0	0	
P72	7		166		745	845	0	0	
P72	7		183		744	845	0	0	
P72	7		200				4	4	
P72	7		216				4	4	
P72	7		233				4	4	
P72	7		249				4	4	
P72	7		266				4	4	
P72	7		283		746	841	0	0	
P72	7		299				4	4	
P72	7		316				4	4	
P72	7		333				4	4	
P72	7		349				4	4	
P72	7		366				4	4	
P72	7		383				4	4	
P72	7		399				4	4	
P72	7		416				4	4	
P72	7		433		779	831	0	0	
P72	7		449				4	4	
P72	7		466				4	4	
P72	7		483				4	4	
P72	7		499		841	806	0	0	
P72	7		516		816	810	0	0	
P72	7		533		810	815	0	0	
P72	7		549		786	810	0	0	
P72	7		566				4	4	
P72	7		583				4	4	
P72	7		599		806	808	0	0	
P72	7		616				4	4	
P72	7		633		774	733	0	0	
P72	7		649		687	585	0	0	
P72	7		666				4	4	
P72	7		683				4	4	
P72	7		699		672	542	0	0	
P72	7		716		672	516	0	0	
P72	7		733		676	535	0	0	
P72	7		749		648	524	0	0	
P72	7		766		682	524	0	0	
P72	7		782		650	534	0	0	
P72	7		799		668	546	0	0	
P72	7		816		652	525	0	0	
P72	7		832		690	516	0	0	
P72	7		849		669	534	0	0	
P72	7		866		676	534	0	0	
P72	7		882		641	540	0	0	
P72	7		899		675	526	0	0	
P72	7		916		648	526	0	0	
P72	7		932		658	517	0	0	
P72	7		949		640	515	0	0	
P72	7		966		672	536	0	0	
P72	7		982		671	531	0	0	
P72	7		999		701	539	0	0	
P72	7		1016		651	544	0	0	
P72	7		1032		668	534	0	0	
P72	7		1049		686	544	0	0	
P72	7		1066		674	541	0	0	
P72	7		1082		723	524	0	0	
P72	7		1099		688	547	0	0	
P72	7		1116		692	556	0	0	
P72	7		1132		694	541	0	0	
P72	7		1149		688	529	0	0	
P72	7		1166		683	541	0	0	
P72	7		1182		686	536	0	0	
P72	7		1199		684	539	0	0	
P72	7		1215		684	541	0	0	
P72	7		1232		692	541	0	0	
P72	7		1249		653	569	0	4	
P72	7		1265		676	575	0	4	
P72	7		1282		402	497	0	0	
P72	7		1299		361	517	0	0	
P72	7		1315		359	532	0	0	
P72	7	Flip_B2_G1.wmv	1322	1					
P72	7	Flip_B2_G1.wmv	1332		352	508	0	0	
P72	7	Flip_B2_G1.wmv	1349		357	508	0	0	
P72	7	Flip_B2_G1.wmv	1365		314	491	0	0	
P72	7	Flip_B2_G1.wmv	1382		319	503	0	0	
P72	7	Flip_B2_G1.wmv	1399		322	505	0	0	
P72	7	Flip_B2_G1.wmv	1415		320	511	0	0	
P72	7	Flip_B2_G1.wmv	1432		322	507	0	0	
P72	7	Flip_B2_G1.wmv	1449		338	513	0	0	
P72	7	Flip_B2_G1.wmv	1465				4	4	
P72	7	Flip_B2_G1.wmv	1482				4	4	
P72	7	Flip_B2_G1.wmv	1499		353	499	0	0	
P72	7	Flip_B2_G1.wmv	1515		332	511	0	0	
P72	7	Flip_B2_G1.wmv	1532		331	498	0	0	
P72	7	Flip_B2_G1.wmv	1549		334	509	0	0	
P72	7	Flip_B2_G1.wmv	1565				4	4	
P72	7	Flip_B2_G1.wmv	1582				4	4	
P72	7	Flip_B2_G1.wmv	1599				4	4	
P72	7	Flip_B2_G1.wmv	1615		328	500	0	0	
P72	7	Flip_B2_G1.wmv	1632		536	439	0	0	
P72	7	Flip_B2_G1.wmv	1648		673	411	0	0	
P72	7	Flip_B2_G1.wmv	1665		758	392	0	0	
P72	7	Flip_B2_G1.wmv	1682		774	421	0	0	
P72	7	Flip_B2_G1.wmv	1698		781	431	0	0	
P72	7	Flip_B2_G1.wmv	1715		790	429	0	0	
P72	7	Flip_B2_G1.wmv	1732		791	417	0	0	
P72	7	Flip_B2_G1.wmv	1748		780	432	0	0	
P72	7	Flip_B2_G1.wmv	1765		787	431	0	0	
P72	7	Flip_B2_G1.wmv	1782		797	430	0	0	
P72	7	Flip_B2_G1.wmv	1798		794	443	0	0	
P72	7	Flip_B2_G1.wmv	1815		781	431	0	0	
P72	7	Flip_B2_G1.wmv	1832		776	435	0	0	
P72	7	Flip_B2_G1.wmv	1848		779	438	0	0	
P72	7	Flip_B2_G1.wmv	1865		790	426	0	0	
P72	7	Flip_B2_G1.wmv	1882		778	437	0	0	
P72	7	Flip_B2_G1.wmv	1898		777	431	0	0	
P72	7	Flip_B2_G1.wmv	1915		776	435	0	0	
P72	7	Flip_B2_G1.wmv	1932		780	427	0	0	
P72	7	Flip_B2_G1.wmv	1948		779	442	0	0	
P72	7	Flip_B2_G1.wmv	1965		780	432	0	0	
P72	7	Flip_B2_G1.wmv	1982		782	444	0	0	
P72	7	Flip_B2_G1.wmv	1998		788	435	0	0	
P72	7	Flip_B2_G1.wmv	2015		782	429	0	0	
P72	7	Flip_B2_G1.wmv	2031		827	427	0	0	
P72	7	Flip_B2_G1.wmv	2048		1046	359	0	0	
P72	7	Flip_B2_G1.wmv	2065		1208	305	0	0	
P72	7	Flip_B2_G1.wmv	2081		1237	290	0	0	
P72	7	Flip_B2_G1.wmv	2098		1239	292	0	0	
P72	7	Flip_B2_G1.wmv	2115		1234	294	0	0	
P72	7	Flip_B2_G1.wmv	2131		1237	301	0	0	
P72	7	Flip_B2_G1.wmv	2148		1240	297	0	0	
P72	7	Flip_B2_G1.wmv	2165		1238	288	0	0	
P72	7	Flip_B2_G1.wmv	2181		1227	290	0	0	
P72	7	Flip_B2_G1.wmv	2198		1222	296	0	0	
P72	7	Flip_B2_G1.wmv	2215		1200	291	0	0	
P72	7	Flip_B2_G1.wmv	2231		1222	300	0	0	
P72	7	Flip_B2_G1.wmv	2248		1223	299	0	0	
P72	7	Flip_B2_G1.wmv	2265		1202	303	0	0	
P72	7	Flip_B2_G1.wmv	2281		996	276	0	0	
P72	7	Flip_B2_G1.wmv	2298		798	279	0	0	
P72	7	Flip_B2_G1.wmv	2315		763	271	0	0	
P72	7	Flip_B2_G1.wmv	2331		742	278	0	0	
P72	7	Flip_B2_G1.wmv	2348		742	273	0	0	
P72	7	Flip_B2_G1.wmv	2365		736	270	0	0	
P72	7	Flip_B2_G1.wmv	2381		742	284	0	0	
P72	7	Flip_B2_G1.wmv	2398		734	283	0	0	
P72	7	Flip_B2_G1.wmv	2415		738	287	0	0	
P72	7	Flip_B2_G1.wmv	2431		740	296	0	0	
P72	7	Flip_B2_G1.wmv	2448		741	299	0	0	
P72	7	Flip_B2_G1.wmv	2465		739	293	0	0	
P72	7	Flip_B2_G1.wmv	2481		728	295	0	0	
P72	7	Flip_B2_G1.wmv	2498		736	314	0	0	
P72	7	Flip_B2_G1.wmv	2515		646	449	0	0	
P72	7	Flip_B2_G1.wmv	2531		643	486	0	0	
P72	7	Flip_B2_G1.wmv	2548		642	500	0	0	
P72	7	Flip_B2_G1.wmv	2565		643	493	0	0	
P72	7	Flip_B2_G1.wmv	2581		642	514	0	0	
P72	7	Flip_B2_G1.wmv	2598		639	514	0	0	
P72	7	Flip_B2_G1.wmv	2614		649	509	0	0	
P72	7	Flip_B2_G1.wmv	2631		657	511	0	0	
P72	7	Flip_B2_G1.wmv	2648		658	512	0	0	
P72	7	Flip_B2_G1.wmv	2664		668	529	0	0	
P72	7	Flip_B2_G1.wmv	2681		679	527	0	0	
P72	7	Flip_B2_G1.wmv	2698		680	533	0	0	
P72	7	Flip_B2_G1.wmv	2714		690	530	0	0	
P72	7	Flip_B2_G1.wmv	2731		688	532	0	0	
P72	7	Flip_B2_G1.wmv	2748		694	533	0	0	
P72	7	Flip_B2_G1.wmv	2764		697	534	0	0	
P72	7	Flip_B2_G1.wmv	2781		707	539	0	0	
P72	7	Flip_B2_G1.wmv	2798		706	548	0	0	
P72	7	Flip_B2_G1.wmv	2814		716	538	0	0	
P72	7	Flip_B2_G1.wmv	2831		864	628	0	0	
P72	7	Flip_B2_G1.wmv	2848		1012	653	0	0	
P72	7	Flip_B2_G1.wmv	2864		1032	667	0	0	
P72	7	Flip_B2_G1.wmv	2881		1064	674	0	0	
P72	7	Flip_B2_G1.wmv	2898		1061	663	0	0	
P72	7	Flip_B2_G1.wmv	2914		1067	668	0	0	
P72	7	Flip_B2_G1.wmv	2931		1065	667	0	0	
P72	7	Flip_B2_G1.wmv	2948		1070	672	0	0	
P72	7	Flip_B2_G1.wmv	2964		1071	664	0	0	
P72	7	Flip_B2_G1.wmv	2981		1068	671	0	0	
P72	7	Flip_B2_G1.wmv	2998		1073	667	0	0	
P72	7	Flip_B2_G1.wmv	3014		1091	659	0	0	
P72	7	Flip_B2_G1.wmv	3031		1074	668	0	0	
P72	7	Flip_B2_G1.wmv	3047		1070	670	0	0	
P72	7	Flip_B2_G1.wmv	3064		1070	663	0	0	
P72	7	Flip_B2_G1.wmv	3081		1071	661	0	0	
P72	7	Flip_B2_G1.wmv	3097		1069	666	0	0	
P72	7	Flip_B2_G1.wmv	3114		1081	656	0	0	
P72	7	Flip_B2_G1.wmv	3131		1062	661	0	0	
P72	7	Flip_B2_G1.wmv	3147		1083	657	0	0	
P72	7	Flip_B2_G1.wmv	3164		1065	664	0	0	
P72	7	Flip_B2_G1.wmv	3181		1063	659	0	0	
P72	7	Flip_B2_G1.wmv	3197		1092	625	0	0	
P72	7	Flip_B2_G1.wmv	3214		1085	580	0	0	
P72	7	Flip_B2_G1.wmv	3231		1090	563	0	0	
P72	7	Flip_B2_G1.wmv	3247		1082	568	0	0	
P72	7	Flip_B2_G1.wmv	3264		1084	563	0	0	
P72	7	Flip_B2_G1.wmv	3281		1082	564	0	0	
P72	7	Flip_B2_G1.wmv	3297		1087	559	0	0	
P72	7	Flip_B2_G1.wmv	3314		1086	556	0	0	
P72	7	Flip_B2_G1.wmv	3331		1106	556	0	0	
P72	7	Flip_B2_G1.wmv	3347		1057	574	0	0	
P72	7	Flip_B2_G1.wmv	3364		1077	565	0	0	
P72	7	Flip_B2_G1.wmv	3381		1079	562	0	0	
P72	7	Flip_B2_G1.wmv	3397		1077	560	0	0	
P72	7	Flip_B2_G1.wmv	3414		1081	566	0	0	
P72	7	Flip_B2_G1.wmv	3430		1076	568	0	0	
P72	7	Flip_B2_G1.wmv	3447		1078	565	0	0	
P72	7	Flip_B2_G1.wmv	3464		1072	571	0	0	
P72	7	Flip_B2_G1.wmv	3480		1074	575	0	0	
P72	7	Flip_B2_G1.wmv	3497		1078	566	0	0	
P72	7	Flip_B2_G1.wmv	3514		1071	574	0	0	
P72	7	Flip_B2_G1.wmv	3530		1073	569	0	0	
P72	7	Flip_B2_G1.wmv	3547		1067	577	0	0	
P72	7	Flip_B2_G1.wmv	3564		1073	577	0	0	
P72	7	Flip_B2_G1.wmv	3580		1073	569	0	0	
P72	7	Flip_B2_G1.wmv	3597		1076	567	0	0	
P72	7	Flip_B2_G1.wmv	3614		1077	572	0	0	
P72	7	Flip_B2_G1.wmv	3630		1070	558	0	0	
P72	7	Flip_B2_G1.wmv	3647		1070	565	0	0	
P72	7	Flip_B2_G1.wmv	3664		1072	567	0	0	
P72	7	Flip_B2_G1.wmv	3680		1065	573	0	0	
P72	7	Flip_B2_G1.wmv	3697		1067	563	0	0	
P72	7	Flip_B2_G1.wmv	3714		1069	572	0	0	
P72	7	Flip_B2_G1.wmv	3730		895	532	0	0	
